Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
CNZ-840.a5.fix	60	5698885	690295	394192	69
CNZ-840.abyss.fix	73	5766474	434556	178377	69
CNZ-840.ray.fix	327	5657404	241205	41651	67
CNZ-840.spades.fix	50	5680568	713187	389982	69
CNZ-840.velvet.fix	69	5667481	921036	220006	69
CNZ-841.a5.fix	50	5608334	732659	408013	69
CNZ-841.abyss.fix	62	5669277	480035	264970	69
CNZ-841.ray.fix	227	5658813	196545	54400	67
CNZ-841.spades.fix	46	5596217	727621	530085	69
CNZ-841.velvet.fix	55	5581619	540498	237232	69
CNZ-842.a5.fix	46	5511219	654439	434645	69
CNZ-842.abyss.fix	65	5557294	481583	245315	69
CNZ-842.ray.fix	712	5486788	222103	20204	66
CNZ-842.spades.fix	50	5502786	680697	408688	69
CNZ-842.velvet.fix	77	5487168	475123	235715	69
CNZ-843.a5.fix	58	5723750	732509	521593	69
CNZ-843.abyss.fix	126	5754517	402815	104413	69
CNZ-843.ray.fix	2484	5287290	45052	3733	65
CNZ-843.spades.fix	60	5702688	779442	492258	69
CNZ-843.velvet.fix	140	5678098	245416	91957	69
CNZ-863.a5.fix	55	5785896	679321	521542	69
CNZ-863.abyss.fix	85	5979856	588676	248332	69
CNZ-863.ray.fix	229	5727848	339012	63681	67
CNZ-863.spades.fix	53	5764998	672525	348837	69
CNZ-863.velvet.fix	58	5746946	722450	311275	69
CNZ-901.a5.fix	46	5698462	678917	492616	69
CNZ-901.abyss.fix	98	5746164	402275	142172	69
CNZ-901.ray.fix	694	5770482	120430	19753	65
CNZ-901.spades.fix	50	5681680	703959	403534	69
CNZ-901.velvet.fix	89	5664597	401060	158223	69
CNZ-902.a5.fix	50	5502093	623631	310460	69
CNZ-902.abyss.fix	64	5561456	574079	196674	69
CNZ-902.ray.fix	95	5533793	338338	104100	69
CNZ-902.spades.fix	54	5485362	551426	273931	69
CNZ-902.velvet.fix	67	5470877	402158	201819	69
CNZ-903.a5.fix	54	5515628	616096	285005	69
CNZ-903.abyss.fix	75	5561586	411469	244113	69
CNZ-903.ray.fix	276	5456896	232777	41538	67
CNZ-903.spades.fix	49	5498749	738697	456855	69
CNZ-903.velvet.fix	64	5483717	456271	226179	69
CNZ-922.a5.fix	43	5760696	667039	445488	69
CNZ-922.abyss.fix	91	5795249	394280	162665	69
CNZ-922.ray.fix	717	5901363	124455	17157	65
CNZ-922.spades.fix	65	5752552	666962	364432	69
CNZ-922.velvet.fix	76	5732323	506644	217379	69
CNZ-936.a5.fix	47	5638155	658995	529339	69
CNZ-936.abyss.fix	60	5679409	473710	249417	69
CNZ-936.ray.fix	156	5659957	262326	71866	68
CNZ-936.spades.fix	33	5627277	922977	473215	69
CNZ-936.velvet.fix	56	5609905	681104	246277	69
CNZ-937.a5.fix	61	5736416	574039	254024	69
CNZ-937.abyss.fix	104	5798071	298801	125428	69
CNZ-937.ray.fix	894	5839668	55979	12227	64
CNZ-937.spades.fix	59	5717914	728566	406532	69
CNZ-937.velvet.fix	94	5706694	374166	137431	69
CNZ-938.a5.fix	54	5916840	693132	393849	69
CNZ-938.abyss.fix	89	5974525	393671	146539	69
CNZ-938.ray.fix	541	6026917	139234	27337	65
CNZ-938.spades.fix	67	5893280	650604	333662	69
CNZ-938.velvet.fix	89	5886839	515632	156832	69
CNZ-939.a5.fix	48	5635952	693820	309079	69
CNZ-939.abyss.fix	77	5682223	488699	162671	69
CNZ-939.ray.fix	298	5687363	161516	35906	66
CNZ-939.spades.fix	51	5618487	669587	309026	69
CNZ-939.velvet.fix	71	5610014	621485	153323	69
CNZ-940.a5.fix	68	5619960	663672	296390	69
CNZ-940.abyss.fix	99	5682110	392114	135038	69
CNZ-940.ray.fix	1085	5694118	65162	10245	64
CNZ-940.spades.fix	59	5602362	524495	369644	69
CNZ-940.velvet.fix	107	5587083	423194	154093	69
CNZ-941.a5.fix	50	5757665	727042	330629	69
CNZ-941.abyss.fix	74	5974665	430605	219824	69
CNZ-941.ray.fix	230	5823273	234093	48040	67
CNZ-941.spades.fix	47	5741859	723712	355378	69
CNZ-941.velvet.fix	66	5730601	509002	238605	69
CNZ-942.a5.fix	41	5691071	1150969	377639	69
CNZ-942.abyss.fix	59	5734353	450397	245654	69
CNZ-942.ray.fix	68	5576217	452032	141132	69
CNZ-942.spades.fix	42	5676838	666774	355684	69
CNZ-942.velvet.fix	67	5665723	419121	201448	69
